Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
19712644,000007E3,false,Rx,0,8,40,00,00,00,00,00,00,04,
19715547,00000464,false,Rx,0,8,8C,C5,4C,C6,CC,D5,0C,D5,
19716446,00000474,false,Rx,0,8,8C,D3,0C,D4,0C,D3,0C,D3,
19717430,000007E4,false,Rx,0,8,4C,B5,00,00,00,00,00,C6,
19725795,00000466,false,Rx,0,8,8C,6E,4C,6E,CC,77,0C,77,
19726695,00000476,false,Rx,0,8,8C,77,0C,77,0C,78,0C,79,
19727679,000007E6,false,Rx,0,8,40,00,00,00,00,00,00,07,
19750277,00000468,false,Rx,0,8,8C,A2,4C,A3,CC,AA,0C,AA,
19751207,00000478,false,Rx,0,8,8C,AA,0C,A8,0C,AA,0C,AB,
19752171,000007E8,false,Rx,0,8,4C,92,00,00,00,00,00,A7,
19760925,0000046A,false,Rx,0,8,8C,B3,4C,B1,CC,B9,0C,B7,
19761825,0000047A,false,Rx,0,8,8C,B9,0C,B6,0C,B9,0C,B7,
19762809,000007EA,false,Rx,0,8,40,00,00,00,00,00,00,0B,
19769788,0000046C,false,Rx,0,6,8B,11,4B,12,CB,1B,00,00,
19770587,0000047C,false,Rx,0,6,8B,1C,0B,1C,0B,1C,00,00,
19771592,000007EC,false,Rx,0,8,4C,BB,00,00,00,00,00,D4,
19773942,0000046D,false,Rx,0,6,8C,99,4C,97,CC,A1,00,00,
19774750,0000047D,false,Rx,0,6,8C,A1,0C,9F,0C,9F,00,00,
19775724,000007ED,false,Rx,0,8,4C,C3,00,00,00,00,00,DD,
19779400,0000046E,false,Rx,0,6,8C,A1,4C,A2,CC,AA,00,00,
19780195,0000047E,false,Rx,0,6,8C,A9,0C,A8,0C,A8,00,00,
19781210,000007EE,false,Rx,0,8,40,00,00,00,00,00,00,0F,
19796243,00000200,false,Rx,0,3,D2,36,00,00,00,00,00,00,
19894065,00000460,false,Rx,0,6,8B,0F,1B,0D,BB,16,00,00,
19894862,00000470,false,Rx,0,6,8B,17,0B,16,0B,17,00,00,
19895877,000007E0,false,Rx,0,8,CC,B0,00,00,00,00,00,BF,
